baseMean log2FoldChange lfcSE pvalue padj
1000 3604.295985638 -0.538682073470686 0.155373533427693 0.000316875604528361 0.00117000223210472
10000 2943.04896724189 0.941951637565843 0.164115934544547 2.61088525826841e-09 2.27563540020282e-08
100033414 3888.11525573836 0.528701653594415 0.19721528024443 0.00425535286001883 0.0123011060593604
100033420 867.885768005356 0.428208724837325 0.179111618192176 0.0122680805672461 0.0314622190860808
100033425 2101.14884060553 0.670402072637728 0.209190956342075 0.000575839993072535 0.00202046110447778
100033427 1648.12716631018 0.553213507695247 0.21437722738327 0.00553272775924358 0.0155781831880378
100033431 5474.42866207361 0.423526133063134 0.179135617233266 0.0130780831311633 0.0332896661520521
100033435 1365.41350691911 0.697374329203415 0.280180495694802 0.00486597102055747 0.0138791703133048
100033448 21.4548949848184 1.03808130582091 0.664683745183385 0.0185496652524172 0.04526827883897
100033821 339.93656704365 0.837224891804289 0.197622512956458 7.46019360903135e-06 3.75711973914744e-05
100037417 430.780951785209 0.837538917381623 0.192419737924535 4.37625797950827e-06 2.29335484447327e-05
100049076 1402.66154720598 0.765933695143966 0.228410704977977 0.000250376533078153 0.000947192889257941
10009 1737.33386472682 -0.485774626865193 0.146823670169031 0.000644896346822677 0.00224350480620279
100093630 1702.2984251099 0.842314735936673 0.178632952778254 7.18164021810694e-07 4.27589683393491e-06
10010 207.695636133317 -1.29635761872742 0.208812266557215 8.25528854230302e-11 8.85247962834196e-10
100101267 1373.73537569312 -0.690748632312284 0.168333186143197 1.74621535723064e-05 8.27060959621281e-05
100101467 158.635610294621 -1.08389836471535 0.174769037136324 1.33360967880631e-10 1.39087279486473e-09
100101490 412.519646189309 -1.25271308322297 0.176707316264285 2.55190601311324e-13 3.70651478561692e-12
10011 258.011671527561 -0.623155739279801 0.28263995798366 0.0113832748177972 0.0294100756538244
100113378 485.304264294265 0.829280717590018 0.163715745528096 1.41106230989769e-07 9.42578401840204e-07
100113381 43.5071414634197 0.744061560789354 0.373569544755425 0.0151156391686412 0.0377563233353743
100113386 32.0283060509202 1.31812290867822 0.360897335816329 4.06593116220151e-05 0.000181387856229216
100113391 145.326068938601 1.50675360804985 0.227397050407251 4.98747368961613e-12 6.2724559939277e-11
100113393 134.471812199668 0.56162938862472 0.209748936035337 0.00425853737233522 0.0123085467277818
100113402 44.2499630442772 0.683928996307678 0.298475027801911 0.00946966334251012 0.0250240415500071
100113407 1062.96595855538 -0.979336126634329 0.214641201168354 1.23070861407311e-06 7.0868568008323e-06
100124533 35.7499003423083 0.870229428635104 0.447265681606011 0.0127173205434206 0.0324738672774363
100124534 120.115121400917 0.948143765017005 0.188983321225085 1.57545634497007e-07 1.04443274957568e-06
100124535 21.5453106932424 1.36082696209324 0.408604685156892 0.000130409899322932 0.000525497415620688
100124536 48.4017767695198 1.49518658330635 0.310866212878979 1.96109383325867e-07 1.27947092810663e-06
100124537 115.688221614393 1.77975640558569 0.393021322911454 5.47212899731043e-07 3.31385162468544e-06
100124539 374.204681953639 2.04159842143099 0.160495262211646 3.47350850391116e-38 5.47077589366008e-36
100124540 216.836031539758 1.34332545333081 0.23407646948435 1.24185596299016e-09 1.13386848794754e-08
100124541 1345.70605201784 1.95826902615446 0.207345685062075 2.35561866502168e-22 9.23915803245858e-21
100125556 102.804406649646 -1.90183482816574 0.477215724593967 1.54744373713587e-06 8.758131875536e-06
100126270 16.5387105402968 1.08161544121455 0.507760184837412 0.00592871530517032 0.0165567115323776
100126784 19.3678286825492 1.33259729554886 0.444882273158082 0.000410049547276183 0.0014793484024853
100126791 12.2043527467109 2.06800129603728 0.594075047794272 4.54276790528896e-05 0.000200442549727786
100127888 199.750379609758 0.880225053499345 0.18879954576465 1.05078407971446e-06 6.11058865807258e-06
100128076 7.63861973260837 1.78890738799626 0.748773042434088 0.0013861256046076 0.00448544015873022
100128164 168.287618689732 0.519279174073237 0.184793144848483 0.00310131919896152 0.00927772593130499
100128191 72.2327637376459 -0.760061038862777 0.249307249796902 0.000910720261990702 0.00307591229380676
100128288 32.6176155412161 -0.951061096535644 0.371730531795646 0.00259932401740185 0.00791337544409864
100128568 5.98211841334488 -1.80864955674758 0.96608112350909 0.00447881095226041 0.0128750647080522
100128573 15.6136395872134 1.74243301637163 0.508727330123912 6.70017033810496e-05 0.000286298079729114
100128640 27.5150916434055 -0.898477949766051 0.42637642932522 0.00886361173479145 0.0236300466243581
100128731 585.943801161611 1.08638811161782 0.184326413464081 9.26035636651029e-10 8.59920701745037e-09
100128927 79.2044396847197 -2.01432919767347 0.3071649825261 5.00606108768224e-12 6.29190720247343e-11
100129034 1490.03514759968 -0.466520227626114 0.134294372468309 0.000318177921321842 0.00117416564046281
100129075 112.247130118531 -0.718205016059563 0.261152758912272 0.00217954651820096 0.00674527264087741
100129195 95.5372620120987 1.13079211053035 0.226430458693659 1.32849725057712e-07 8.92750152387824e-07
100129196 413.473895549311 2.01749997927266 0.22974513454087 1.71247369528314e-19 4.91787317619773e-18
100129250 92.806236003627 0.654295771731006 0.221733303671821 0.0015433981978929 0.00493652350777738
100129361 197.08070570217 -0.607865591351611 0.219754975677413 0.00279492383967791 0.00843624264229775
100129387 371.768903159546 -1.05578556906485 0.211704094684854 1.46941961896345e-07 9.789656152777e-07
100129424 2950.26326096904 1.43726088988022 0.221019992508137 6.70326871142915e-12 8.30085363774027e-11
100129460 309.259587694604 1.05131625581174 0.167573445777426 8.64838133714162e-11 9.254318883056e-10
100129464 25.1439611181247 1.35000153921324 0.428912728793725 0.000235238253692234 0.000894912292530631
100129482 621.166168456026 -2.20074013191475 0.205815593403703 4.21557090074278e-28 2.92047798484448e-26
100129534 129.547718652851 0.597450457823338 0.204539869984399 0.00188202921561144 0.00591452984984047
