"entrez","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"8091",6977.819762909063,-9.107247194660214,0.2855358124536602,-31.89528877796453,3.1034747703594793e-223,6.33015748910223e-219,"HMGA2"
"1290",1517.0969643028202,-6.310680121924252,0.21444842481075543,-29.427495806944002,2.443766909017129e-190,2.492275682161119e-186,"COL5A2"
"84159",1337.9420780814314,-7.124030117463999,0.2641192855318006,-26.972775210715344,3.08429895865757e-160,2.0970148619912818e-156,"ARID5B"
"9830",1510.6789610296448,5.02721505208771,0.1882255508546739,26.70846242319751,3.753573460359971e-157,1.9140409467740583e-153,"TRIM14"
"11031",1976.8050027075697,-5.801649745006053,0.22444041118820315,-25.8493990199524,2.47125001240918e-147,1.0081217300622009e-143,"RAB31"
"441521",1684.0138700466146,9.034644943459634,0.3533945687640174,25.565319170178316,3.709618258210376e-144,1.2610847268786175e-140,"CT45A5"
"441520",1420.0091248267952,9.17691963579106,0.36888738655324504,24.877293098950858,1.3104368019015444e-136,3.818425635483686e-133,NA
"541466",1382.3716358134811,9.265471642447858,0.37844439360882143,24.483046383889892,2.2389758058563217e-132,5.708548689006424e-129,"CT45A1"
"6876",4147.506425734709,-8.778806768277562,0.3593509846184228,-24.42961656999311,8.288700732290194e-132,1.8784958759613677e-128,"TAGLN"
"541465",1447.179530292882,9.38960287443694,0.38645788608489323,24.29657463989317,2.1307603118710258e-130,4.346111808123331e-127,"CT45A6"
"5144",914.7534504243882,-5.866349484054197,0.24510281891007865,-23.934239149678636,1.3484831695325782e-126,2.5004555644505452e-123,"PDE4D"
"23532",6743.729133269936,9.305854092462411,0.3948054334820816,23.570734603085857,7.695320706683065e-123,1.3080121371184538e-119,"PRAME"
"27063",1874.327833086051,-9.506289488681452,0.41042278571351926,-23.162187431077406,1.095718000335608e-118,1.7191815425265691e-115,"ANKRD1"
"84766",563.6768902057981,5.110658925456117,0.22491023360938592,22.72310531824035,2.6480987059908703e-114,3.858090664721127e-111,"CRACR2A"
"4101",1043.2084918244582,6.515018503493813,0.3012355995535182,21.62765129071785,9.868115780452589e-104,1.341866383825943e-100,"MAGEA2"
"7057",2393.980541264409,-7.297370019742261,0.33918866312360446,-21.514191991384486,1.146596363574288e-102,1.461695376739047e-99,"THBS1"
"301",3583.7903930835355,-4.912923717810052,0.22853661021779995,-21.49731595794625,1.649564077755646e-102,1.979185793763642e-99,"ANXA1"
"26585",1305.1318308859823,-8.257871441686522,0.3842042386736706,-21.49344179594141,1.7931378936347094e-102,2.0319240898037315e-99,"GREM1"
"2171",958.5117989441633,-8.079631231463154,0.3801744942229945,-21.252428435464633,3.1304841482219534e-100,3.3606571142780627e-97,"FABP5"
"4111",392.5672263805699,6.872023081876083,0.324671395297607,21.166087254397347,1.9618501353817466e-99,2.0007928605690743e-96,"MAGEA12"
