"entrez","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"7316",262433.1542386402,3.4113864717904745,0.13456333217420804,4.425220542262666e-143,7.367107158758885e-139,"UBC"
"2023",55807.82766928482,2.627963945909708,0.10472645087643595,1.8858334683436434e-140,1.5697677790492487e-136,"ENO1"
"3303",4465.333498663682,4.82476463253463,0.19915560281365444,2.3501251585139083e-133,1.3041627879646515e-129,"HSPA1A"
"226",69080.55313568766,2.987884717286384,0.1223472290933358,8.754390387045274e-133,3.643577279088243e-129,"ALDOA"
"3304",5980.97617737469,4.700612133460662,0.20582580145033985,2.4226607883718658e-119,8.066491360962964e-116,"HSPA1B"
"60370",1044.8441038820417,3.6981093657861384,0.1662792263142897,1.4986336714525596e-111,4.158208893723702e-108,"AVPI1"
"90226",697.3199163308658,3.644582306865545,0.17592390755506354,7.372545990004756e-97,1.753402080594274e-93,"UCN2"
"2597",583773.660669217,2.5035523743777026,0.12804010899713408,3.834832890081222e-86,7.980287244259023e-83,"GAPDH"
"5236",1203.1123715108695,2.6392506209367914,0.1392294429806194,4.668356944731118e-81,8.635422935098183e-78,"PGM1"
"10528",3403.2425569014968,-3.364675806770416,0.1803952616012793,1.3736243999132822e-79,2.286809900975632e-76,"NOP56"
"128178",1236.45947211454,2.6144324837346073,0.14506169588532547,9.976946771179639e-74,1.5099655440599875e-70,"EDARADD"
"6513",2043.4435224981269,3.5335984805408343,0.20350661022247238,3.892617687480195e-70,5.4003582717641905e-67,"SLC2A1"
"3105",1260.159250489682,3.029388640578337,0.17398178618602633,2.711137337399394e-69,3.4719241840788544e-66,"HLA-A"
"5214",3509.732032675494,2.0344311779660504,0.11844287152755863,6.11354633832858e-67,7.2698799600353e-64,"PFKP"
"2783",4605.957813453209,2.339154529751281,0.13806035151805288,1.6245311817121465e-65,1.8030130075429209e-62,"GNB2"
"3956",43383.318100423996,2.3517261516995482,0.1387688220055939,1.7981327737062483e-65,1.8709571510413513e-62,"LGALS1"
"4144",739.1853045009532,-3.2223796287679156,0.1920254305837038,1.1375353151722973e-64,1.1139816427640238e-61,"MAT2A"
"9518",617.0131981436872,3.4540560652172,0.21071999245033496,2.3588306968445523e-62,2.1816563022815616e-59,"GDF15"
"1152",19229.411701196266,2.248514688027184,0.1371924530112825,2.7187756029701656e-61,2.3822198020130168e-58,"CKB"
"4000",2959.4438307908154,3.301987988473533,0.20590647543738266,2.1650379997665418e-60,1.8021776310056693e-57,"LMNA"
"5224",2101.237546768173,3.2518022456103592,0.20312832746041812,2.092366726664271e-59,1.6587486316907995e-56,"PGAM2"
"645",1202.167250416508,2.2292793537285474,0.13981942195594857,2.5701029699301186e-58,1.9448670110634824e-55,"BLVRB"
"7086",17423.03514980377,1.7370265239350944,0.10956226570536974,2.3148706864713835e-57,1.6755637907989388e-54,"TKT"
"728402",2507.478160368799,2.1577776403201625,0.13681504862358576,4.802007861530037e-57,3.330992786614669e-54,"TPI1P3"
"5228",427.53681764204754,2.888569934288532,0.18412478893247597,1.2465928452071992e-56,8.30131107480378e-54,"PGF"
"1192",5227.468931111915,1.8217502843055977,0.11663586195906578,7.674286530643848e-56,4.913904698544568e-53,"CLIC1"
"826",2740.158557759417,2.0448558623166355,0.13276975564286073,1.825064218058219e-54,1.12532107786049e-51,"CAPNS1"
"1848",1315.0735440478386,-2.9463042189973723,0.19264790557327796,1.9351063630078626e-54,1.1505589546912462e-51,"DUSP6"
"23589",2204.300668370801,2.040891170129169,0.13257957656093616,2.2572311580654472e-54,1.295806355843916e-51,"CARHSP1"
"353322",522.3442332747203,3.4071534455001413,0.22565946229987743,6.738058413099819e-53,3.7391732153761926e-50,"ANKRD37"
"1382",183.79557299334544,4.554761904229538,0.3046546153409597,2.509904521309644e-52,1.3478996926052564e-49,"CRABP2"
"55364",684.8482664180934,-2.466458349392894,0.16401373566750246,3.505019948788289e-52,1.8234866283571074e-49,"IMPACT"
"51129",930.1699279567043,3.787562232774618,0.2592759720024782,2.657970336177569e-51,1.3409057623237627e-48,"ANGPTL4"
"7167",42539.18495137872,2.057736168073305,0.13997533453965064,2.2452604336322704e-50,1.0993851676208834e-47,"TPI1"
"84549",840.8232744403916,-2.924641031746821,0.19898249037287152,3.934932264036084e-50,1.871678638047792e-47,"MAK16"
"10434",2470.9324171339595,-2.9373714596380798,0.20089031072407848,5.676805997277418e-50,2.6252073956298463e-47,"LYPLA1"
"133",2621.213729432237,2.486101706691188,0.17084157822355858,1.9390062742242444e-49,8.724480122509518e-47,"ADM"
"51377",1121.7240600577225,-2.0706015704556378,0.1426351551137953,1.1381640223323973e-48,4.986356485207829e-46,"UCHL5"
"1843",5519.077924787207,4.74023190790972,0.34926536679224746,2.4650172696883662e-48,1.052246346301844e-45,"DUSP1"
"2821",12295.71712724823,2.570750780478207,0.1795299963579943,3.388229666617333e-48,1.410181187246134e-45,"GPI"
"3400",758.3056179079613,-2.76844989414178,0.19273527390562425,4.450369725657764e-48,1.807067199823182e-45,"ID4"
"5315",25181.19658458887,2.358947009726287,0.16463759574512768,5.817853536280059e-48,2.3060863255235816e-45,"PKM"
"117166",311.98206161986633,3.9433279806074033,0.27709994947111033,8.206923348482663e-48,3.1774153466404504e-45,"WFIKKN1"
"3337",2219.21124384224,2.2089943142330477,0.15459725223344944,1.7413641551084393e-47,6.588688739601204e-45,"DNAJB1"
"9949",230.9872297297086,-3.3229021169725454,0.23281965336298288,3.258860043017752e-47,1.2056333776924342e-44,"AMMECR1"
"23210",1048.5450766510173,2.5905960805140924,0.18287082944906657,7.841757768270961e-47,2.8380344201342383e-44,"JMJD6"
"84326",4045.6789425181414,1.8008949475537004,0.12632510035985986,9.780489358845552e-47,3.464374188214059e-44,"METTL26"
"1198",1720.4417925978937,2.497371887589824,0.17694828423557316,1.0085815921423778e-46,3.498097155413814e-44,"CLK3"
"1785",1157.7419287008788,1.9247118509454322,0.13581877370111017,1.8819849190301424e-46,6.394139782043635e-44,"DNM2"
"8266",755.1173506290022,-2.329089800375539,0.16498244312579222,2.441964380519584e-46,8.056807142211097e-44,"UBL4A"
"85450",507.62235657814335,2.4644036125809166,0.174373887869134,2.4681473105043604e-46,8.056807142211097e-44,"ITPRIP"
"1410",562.3711537275782,3.5113700168388196,0.2527135578742701,2.730002439997247e-46,8.740207811745032e-44,"CRYAB"
"29923",6992.095520388418,2.8017057608946914,0.20203569902578983,4.776293472663056e-46,1.500296862884803e-43,"HILPDA"
"5046",1184.5188553921432,1.9418367920372273,0.1381592958133478,7.154628351655705e-46,2.2057454221919295e-43,"PCSK6"
"11337",6039.538697257287,1.5577981932092317,0.11027256989408073,9.254153527650277e-46,2.801148144151306e-43,"GABARAP"
