"entrez","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"590",1976.7483103064237,4.4310589597850765,0.1517834592497754,29.19329274537952,2.359244525435644e-187,3.758748377924068e-183,"BCHE"
"26094",690.8765482036977,3.8104369037892227,0.1357971954501684,28.05976140492154,3.036550107778447e-173,2.4189158158563106e-169,"DCAF4"
"84298",328.1675858789159,-7.266748139213626,0.26189518831866504,-27.746779869707638,1.905564509914734e-169,1.0119817923987181e-165,"LLPH"
"79971",594.6467346681685,-6.675631582197941,0.24406861227617135,-27.35145465834932,1.0377199411607282e-164,4.13323852564318e-161,"WLS"
"3693",431.60264619947606,-4.325492845376651,0.16416293472219473,-26.348778746533014,5.300493852400289e-153,1.688949361128828e-149,"ITGB5"
"153572",783.5955876651234,4.065001425031662,0.15494783396056594,26.234645048773,1.0700749558935927e-151,2.841405699549453e-148,"IRX2"
"6876",8603.46023859455,-11.901248819088815,0.45562723230816915,-26.120582737774676,2.128393288217333e-150,4.84422312398265e-147,"TAGLN"
"7980",220.0735006846552,-5.206093065335862,0.20354787496051172,-25.5767497761686,2.768182310577369e-144,5.512835071514831e-141,"TFPI2"
"11010",584.2202444763765,-4.458459759409635,0.17613204808941738,-25.313165933017473,2.287919106785602e-141,4.05012524547869e-138,"GLIPR1"
"72",1070.5331594740828,-9.861107468175948,0.3920545178398244,-25.152388301783954,1.3306806846291724e-139,2.1200404667511974e-136,"ACTG2"
"2170",476.28226802513007,-6.277306118375485,0.25175540447626676,-24.934146424519966,3.1730623922847037e-137,4.595748184898172e-134,"FABP3"
"8522",659.7066376694626,4.589770120579601,0.1860708145639453,24.666792217445124,2.430743663514462e-134,3.2272173372593675e-131,"GAS7"
"2171",1445.9060758756918,-11.28416024554459,0.4690756748869798,-24.05616161670166,7.196054646367813e-128,8.819041740456306e-125,"FABP5"
"5054",309.8307862676137,-4.618606904358313,0.19289736976180194,-23.943337900675214,1.0841416172791803e-126,1.233753160463707e-123,"SERPINE1"
"8490",442.34989388984366,-4.992586177774317,0.21381458699063738,-23.35007282731807,1.3758110552976813e-120,1.4612947822001774e-117,"RGS5"
"7168",17627.129940879928,-6.240147004325816,0.2718132139821269,-22.957482136008803,1.2405490563059565e-116,1.2352767228166562e-113,"TPM1"
"10642",326.91133688311766,-8.63711483975741,0.38164211386532326,-22.631451105538474,2.124955826139992e-113,1.9914586012977853e-110,"IGF2BP1"
"79582",490.7038575028785,-9.453936995849787,0.4295967716298135,-22.00653640850986,2.4932757131497222e-107,2.2068260367722984e-104,"SPAG16"
"3875",2491.567482408453,-6.761210343547115,0.311712530443541,-21.690531124707995,2.520602489410084e-104,2.1135915190148135e-101,"KRT18"
"133418",180.42838646960155,-7.416451029503155,0.34655295758746046,-21.40062829396412,1.3181976596569689e-101,1.0500762556827415e-98,"EMB"
"27253",757.4730730498437,4.483568488204847,0.21036293469946035,21.313490870482465,8.510722821899408e-101,6.45680171421435e-98,"PCDH17"
"22999",1122.682198311838,-10.904970500622529,0.5121403482628804,-21.292933738985617,1.3200049573329202e-100,9.559235900103674e-98,"RIMS1"
