baseMean log2FoldChange lfcSE pvalue padj
1 465.882973952386 -1.66257843655391 0.629031440891438 0.00214914767896333 0.0077495241634566
10000 3972.85779217456 -0.716238437677329 0.243940386037992 0.00208773064084852 0.00754734591304016
100009676 63.1964744852924 0.784773425313113 0.316517199997581 0.00904907544057654 0.0267816198905362
10001 1291.54001016648 0.664117727758139 0.262454162192847 0.00910011226990425 0.0269138553721533
10003 80.8338534022264 -1.3304657199523 0.411844355376871 0.000504960311896941 0.00216704030059969
100033428 5023.30539771195 1.19279614131443 0.544850095577479 0.0112749789163911 0.0323210973134731
100033434 2701.10959232008 1.63458753440215 0.78675916245262 0.00678186868210791 0.0210238922243703
100033438 1480.08468937124 1.24686047475829 0.630387740353738 0.0165681984778049 0.0443704948482139
100033440 26.3366616251848 -3.21205317782233 1.00878423340279 0.000168596803776807 0.000816375648663085
100033441 10.5694312961731 -3.03437189638266 0.965337994343359 0.000211701316812046 0.00100172482720407
100033442 27.1020066330886 -2.94549881746358 0.946335487390336 0.000239236244695875 0.00111999807611934
100033443 9.95227122623907 -2.48562336754607 2.24287781652 0.0141648397744439 0.0389592903761176
100033446 56.0091032858642 -3.16154649533552 0.859734207427131 2.9680892995453e-05 0.00017191368118023
100033447 15.8841802901635 -3.17550787268921 0.894586641557131 4.78230090923984e-05 0.000265237910004211
100033448 105.517799944441 -2.59153989972137 1.58252468710558 0.00773973559437513 0.0235214186811544
100033451 4.26884149875982 -2.09986879713406 0.916709615391368 0.0038652752388063 0.012931080405425
100033455 90.6891538049233 -3.0741724775215 0.864673146190182 4.68088996674522e-05 0.000260022147982147
100033799 26.3242791817541 -3.21126109478596 1.008768274157 0.000169056778723286 0.000818415734180647
100033801 25.7743136801245 -3.17664351416077 1.00639892585031 0.000186859528113988 0.000896807120873527
100033802 26.2046453972433 -3.06134881677726 1.01810159816908 0.000308349621488305 0.00140231181243983
100033806 4.63363182236545 -2.56676377509563 1.11546746749048 0.00265693206398979 0.00933099731165624
100033807 14.4399052892917 -3.35361954334642 1.19492214370008 0.00050627474387389 0.00217224084471225
100033813 25.7480268998043 -3.21196301824338 1.0143644132916 0.000177748512384112 0.000856770493436169
100033814 5.21294301411772 -2.22892718101444 0.84106810543167 0.00145096656058949 0.00547930112159819
100033815 24.6817778847523 -3.26026023855893 1.01390614104649 0.000149086796569316 0.000731271428028828
100033818 13.4821440986196 -2.16348487010907 2.17040394412354 0.018942284482424 0.0498146785705485
100037417 391.773591784464 1.1057582155486 0.385676729033839 0.00183345439094784 0.00672923534264316
10004 21.0797169369676 0.935309190915023 0.402883190242582 0.0120233052661756 0.0340972493480323
100048912 24.1443353456132 -1.34537555999229 0.413880647759357 0.000431810013784434 0.00188677357932229
10007 1879.3919544789 1.79055520271822 0.223872609707583 2.96810267728643e-16 7.19756399520661e-15
10009 2523.13035904864 0.962385813662538 0.282536542753081 0.000369741539666182 0.00164407233663791
100093630 1434.26434835858 2.19513709614408 0.297760531110217 2.48495739151848e-14 5.09259902985927e-13
1001 111.631976330825 -3.6857725376877 0.449437294201041 2.2184091625551e-17 5.88517819189115e-16
10010 792.175669955384 -0.833241055080684 0.304996920414097 0.00415918337959954 0.013779328974354
100101490 734.402987023159 1.67826386737568 0.349972036382272 4.1099180637961e-07 3.44309320975716e-06
100113382 55.5693686615182 1.0017493065977 0.33520760730643 0.00168280176578721 0.00623139992683494
100113384 34.625116797282 -10.8100369431702 3.07118740504658 2.80574303217976e-19 8.65853935732442e-18
100113391 110.260432200351 2.40792325600096 0.516374566524623 4.61680314715735e-07 3.83285186765965e-06
100124534 93.2606485796272 1.46777446241438 0.359917378345887 1.3027153085786e-05 8.19081766635254e-05
100124537 49.8036925655777 1.79327667002871 0.441006985115022 1.17663028645629e-05 7.46680550488e-05
100124539 183.624966689698 1.73379407504814 0.277666566087782 8.31013829341577e-11 1.16738969921441e-09
100124541 1283.37665676445 -1.2135476964735 0.400788877528886 0.0010857423911573 0.00423924131700482
100125556 291.133002473473 1.07218621114563 0.395672794978636 0.00318502436394962 0.0109690850471471
100126299 4337.52305545728 -8.54352815846257 0.508090044385989 1.27119291078745e-63 4.20486780021411e-61
100126333 50.6314123042296 -11.0144383983346 3.51202781297198 6.32776370276488e-08 6.02790575992496e-07
100126334 8.69096499699133 3.08229303008865 0.901791449241821 7.87811525560789e-05 0.000412923248232778
100126780 6.72120487935274 2.95534547645721 0.996172943086802 0.00030349660174536 0.00138301158017813
100126781 34.6658582757266 7.97723558344974 1.32184485349187 5.14274067958383e-14 1.02419398106105e-12
100126798 26981.7206964452 5.66008551297464 0.514192462803642 1.15354926341061e-29 7.03764781164341e-28
100126800 26961.5758935453 5.66541903256346 0.514914456920121 1.22949747500461e-29 7.43670329881359e-28
100127888 122.218646102007 6.10473584756228 0.493848573110087 3.05571439668553e-36 2.66211826246225e-34
100127983 156.004404632867 2.00478637003669 0.68793088832323 0.000492872074072077 0.00212161484508049
100128054 10.0888265509502 -2.18948776409823 0.763651865743142 0.000727172524449739 0.00299029259013243
100128098 5.69962540362542 1.8087014647522 0.723992966494814 0.0026774192869126 0.00939048480847245
100128124 16.261820726285 3.14777666711558 0.644786067136016 2.26557482105178e-07 1.9745664455194e-06
100128164 587.638822955438 -1.59619008201133 0.382882299854749 9.78306922220603e-06 6.32003586921274e-05
100128176 10.4559454494383 1.20587578799636 0.569446700112327 0.0136719940370276 0.037839732483184
